"ASV","treatment","Est","pval","pval.holm","SE","t.val","sampletype","week"
"ASV358","lg",0.862346799549148,0.582667852370302,1,2.2409654877839,0.413873920970216,"feces","Week 2"
"ASV36","cdiff",-0.249016930932161,0.398374862320122,0.997773980394021,1.94874091914089,-0.162480995729252,"feces","Week 2"
"ASV36","Intercept",-3.02489697826683,0.146798583372434,0.910477632965097,1.37796791870023,-2.26323717238991,"feces","Week 2"
"ASV36","la",13.9619231444337,0.000258872436291874,0.0402804464361375,1.94874091914089,7.87664310022128,"feces","Week 2"
"ASV36","lg",-0.518982962358919,0.458003422991159,0.992982708252611,1.94874091914089,-0.340136380974079,"feces","Week 2"
"ASV361","cdiff",2.38545035732173,0.377432632549711,1,2.45680916834284,1.08892956930888,"feces","Week 2"
"ASV361","Intercept",-3.09316937229626,0.192052634376779,0.961339038747597,1.7372264230165,-1.87878334169989,"feces","Week 2"
"ASV361","la",0.156578378389098,0.520857107306478,1,2.45680916834284,0.0993106475136329,"feces","Week 2"
"ASV361","lg",0.509750622550465,0.525724770681686,1,2.45680916834284,0.269965254579064,"feces","Week 2"
"ASV363","cdiff",-0.0525083484161218,0.502188059727567,1,2.38612916999239,-0.0137614872607711,"feces","Week 2"
"ASV363","Intercept",-3.0032385078775,0.181868663541338,0.969535297090609,1.68724811688865,-1.86577907154743,"feces","Week 2"
"ASV363","la",0.0526046733527639,0.566793559591869,1,2.38612916999239,0.0456319127638157,"feces","Week 2"
"ASV363","lg",4.71128410199689,0.124360362388811,0.955869365302241,2.38612916999239,2.13056783180392,"feces","Week 2"
"ASV366","cdiff",1.60879840710377,0.473113771376028,0.993522003350885,2.51139416881047,0.730159896163601,"feces","Week 2"
"ASV366","Intercept",-2.84971268854151,0.236989766348897,0.967662910718061,1.77582384699824,-1.65961564110258,"feces","Week 2"
"ASV366","la",-0.169599634367174,0.539105311966989,1,2.51139416881048,-0.0754297735859945,"feces","Week 2"
"ASV366","lg",-0.785964003740096,0.500181317873371,1,2.51139416881048,-0.327251101645295,"feces","Week 2"
"ASV374","cdiff",-0.362901429148229,0.492826811537436,1,1.78714135240985,-0.220879981566114,"feces","Week 2"
"ASV374","Intercept",-2.67688362142859,0.150697879610962,0.911644161125956,1.2636997692279,-2.25076311330971,"feces","Week 2"
"ASV374","la",-0.469441568998776,0.418238528429561,0.99409561678089,1.78714135240985,-0.224208886903762,"feces","Week 2"
"ASV374","lg",4.93859226421106,0.0433551171227685,0.841919538752385,1.78714135240985,2.98910974888367,"feces","Week 2"
"ASV375","cdiff",-0.603236415343678,0.509945453092076,1,2.37506387898373,-0.238755508903405,"feces","Week 2"
"ASV375","Intercept",-2.70910617406645,0.219272682101811,0.984756603317212,1.67942377458062,-1.65509322407139,"feces","Week 2"
"ASV375","la",-0.209047734583189,0.542251233100212,1,2.37506387898373,-0.0934828350229817,"feces","Week 2"
"ASV375","lg",0.849538484998362,0.512817888658963,0.995671335604189,2.37506387898373,0.400466456052674,"feces","Week 2"
"ASV376","cdiff",-0.442428174392066,0.523526453752218,0.99963779166375,2.49582868209111,-0.116141462161738,"feces","Week 2"
"ASV376","Intercept",-2.89731901323271,0.222088570167956,0.958515482959457,1.76481738578651,-1.7315966079767,"feces","Week 2"
"ASV376","la",0.00815249751199356,0.537600942689464,1,2.49582868209112,0.0312688617503117,"feces","Week 2"
"ASV376","lg",1.13581502989742,0.516661375427742,0.995651139976937,2.49582868209112,0.540539145265873,"feces","Week 2"
"ASV377","cdiff",-4.4652131949602,0.13241725787985,0.944798038923188,2.21245873049136,-2.18583226588607,"feces","Week 2"
"ASV377","Intercept",1.28222680237423,0.429831104229109,0.989784686679288,1.56444457142582,0.965684128177779,"feces","Week 2"
"ASV377","la",-4.26518998788005,0.139828537080097,0.958600257036768,2.21245873049136,-2.07531992451318,"feces","Week 2"
"ASV377","lg",-4.83125528753644,0.0957722203853241,0.938261798541551,2.21245873049136,-2.36482803490837,"feces","Week 2"
"ASV378","cdiff",1.32637935158474,0.475352500799538,1,2.47372600026709,0.611087432168084,"feces","Week 2"
"ASV378","Intercept",-2.77776223780624,0.241677560838373,0.997486265144379,1.74918842958633,-1.61920178544846,"feces","Week 2"
"ASV378","la",2.39598515199656,0.368585096936504,1,2.47372600026709,1.02984569156399,"feces","Week 2"
