"ID","Shannon","InvSimpson","mouse","challengeday","week","sampletype","treatment","sex","cage","Lg","La"
"247-4-d14-La-ce",3.85725673023071,28.0852536224008,4,"day14","Week 3","cecum","la","M",247,"none","positive"
"247-4-d14-La-fe",2.39609876460376,5.52805742628927,4,"day14","Week 3","feces","la","M",247,"none","positive"
"247-4-d14-La-il",0.540729426517796,1.20040332537434,4,"day14","Week 3","ileum","la","M",247,"none","positive"
"248-1-d14-Lg-ce",3.5351465702684,16.9330329464317,1,"day14","Week 3","cecum","lg","M",248,"positive","none"
"248-1-d14-Lg-fe",2.62161761346961,7.30130937493608,1,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-1-d14-Lg-il",1.2644997788795,2.76531848810816,1,"day14","Week 3","ileum","lg","M",248,"positive","none"
"248-2-d14-Lg-ce",3.56161330999187,17.5213454144368,2,"day14","Week 3","cecum","lg","M",248,"positive","none"
"248-2-d14-Lg-fe",3.10663451858297,11.6746604168319,2,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-2-d14-Lg-il",2.68177262365306,7.15369556682401,2,"day14","Week 3","ileum","lg","M",248,"positive","none"
"248-3-d14-Lg-ce",3.46757127866404,15.7796103927755,3,"day14","Week 3","cecum","lg","M",248,"positive","none"
"248-3-d14-Lg-fe",3.29179425348793,12.4908707020837,3,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-3-d14-Lg-il",3.17842500568408,14.6993620239844,3,"day14","Week 3","ileum","lg","M",248,"positive","none"
"248-4-d14-Lg-ce",3.68480763034666,19.5028192925989,4,"day14","Week 3","cecum","lg","M",248,"positive","none"
"248-4-d14-Lg-fe",3.56995132646577,17.4288644747911,4,"day14","Week 3","feces","lg","M",248,"positive","none"
"248-4-d14-Lg-il",1.98219527812712,4.06130222328243,4,"day14","Week 3","ileum","lg","M",248,"positive","none"
"249-1-d21-No-ce",3.92575243453105,32.0866468021018,1,"day21","Week 4","cecum","cef","M",249,"none","none"
"249-1-d21-No-fe",3.65466491540218,22.0797573673613,1,"day21","Week 4","feces","cef","M",249,"none","none"
"249-1-d21-No-il",3.85467666427501,31.4530849589927,1,"day21","Week 4","ileum","cef","M",249,"none","none"
"249-2-d21-No-ce",3.91067047751729,29.4299707587016,2,"day21","Week 4","cecum","cef","M",249,"none","none"
"249-2-d21-No-fe",2.61574412844813,5.95085397323683,2,"day21","Week 4","feces","cef","M",249,"none","none"
"249-2-d21-No-il",3.19282709726862,7.56806767846399,2,"day21","Week 4","ileum","cef","M",249,"none","none"
"249-3-d21-No-ce",3.93399736303152,31.4277804743218,3,"day21","Week 4","cecum","cef","M",249,"none","none"
"249-3-d21-No-fe",3.27209393074294,11.399159329959,3,"day21","Week 4","feces","cef","M",249,"none","none"
"249-3-d21-No-il",1.36270489057105,2.04302719881254,3,"day21","Week 4","ileum","cef","M",249,"none","none"
"249-4-d21-No-ce",3.9134321948791,31.348242888176,4,"day21","Week 4","cecum","cef","M",249,"none","none"
"249-4-d21-No-fe",3.65917908303493,22.7029106178885,4,"day21","Week 4","feces","cef","M",249,"none","none"
"249-4-d21-No-il",0.916986836784049,1.40287686752677,4,"day21","Week 4","ileum","cef","M",249,"none","none"
"250-1-d21-Cd-ce",3.91795938057208,31.5444296842052,1,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"250-1-d21-Cd-fe",3.29879939557752,10.8350156865698,1,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-1-d21-Cd-il",3.36192540223085,15.6237960677271,1,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"250-2-d21-Cd-ce",3.9830892048781,33.7755521348687,2,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"250-2-d21-Cd-fe",3.91208118127036,29.4497157509905,2,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-2-d21-Cd-il",3.80625930405374,30.7727172626193,2,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"250-3-d21-Cd-ce",3.95904201451135,34.0164412292641,3,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"250-3-d21-Cd-fe",3.72387467157977,20.6451942632483,3,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-3-d21-Cd-il",2.61634479407763,4.66556958126378,3,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"250-4-d21-Cd-ce",3.725578819081,19.623690937613,4,"day21","Week 4","cecum","cdiff","M",250,"negative","negative"
"250-4-d21-Cd-fe",3.25840709502314,11.1189614056674,4,"day21","Week 4","feces","cdiff","M",250,"negative","negative"
"250-4-d21-Cd-il",3.66102199088388,20.3164284688675,4,"day21","Week 4","ileum","cdiff","M",250,"negative","negative"
"251-1-d21-La-ce",3.63705630735882,18.7979253735242,1,"day21","Week 4","cecum","la","M",251,"none","positive"
"251-1-d21-La-fe",3.40280812196634,15.3276032228646,1,"day21","Week 4","feces","la","M",251,"none","positive"
"251-1-d21-La-il",3.46966510095473,18.1648774291435,1,"day21","Week 4","ileum","la","M",251,"none","positive"
"251-2-d21-La-ce",3.90914045367561,27.683981424328,2,"day21","Week 4","cecum","la","M",251,"none","positive"
"251-2-d21-La-fe",2.97036287002572,7.08229625792031,2,"day21","Week 4","feces","la","M",251,"none","positive"
"251-2-d21-La-il",3.35171192564737,11.5556166013368,2,"day21","Week 4","ileum","la","M",251,"none","positive"
"251-3-d21-La-ce",3.8919971430961,26.5264845409724,3,"day21","Week 4","cecum","la","M",251,"none","positive"
"251-3-d21-La-fe",2.97065212069109,8.57041024403782,3,"day21","Week 4","feces","la","M",251,"none","positive"
"251-3-d21-La-il",1.51781696132441,3.52220254658909,3,"day21","Week 4","ileum","la","M",251,"none","positive"
"251-4-d21-La-ce",3.5259180757995,15.531291275159,4,"day21","Week 4","cecum","la","M",251,"none","positive"
"251-4-d21-La-fe",3.28105764051825,11.5082208889889,4,"day21","Week 4","feces","la","M",251,"none","positive"
"251-4-d21-La-il",3.60284604215563,20.3404641819651,4,"day21","Week 4","ileum","la","M",251,"none","positive"
"252-1-d21-Lg-ce",4.01629383945859,27.0110286128147,1,"day21","Week 4","cecum","lg","M",252,"positive","none"
"252-1-d21-Lg-fe",3.24380196926547,10.3510550741757,1,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-1-d21-Lg-il",2.11568928651503,4.5015579716296,1,"day21","Week 4","ileum","lg","M",252,"positive","none"
"252-2-d21-Lg-ce",4.12290475722221,37.1399649361111,2,"day21","Week 4","cecum","lg","M",252,"positive","none"
"252-2-d21-Lg-fe",3.8650958249746,21.5207346075225,2,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-2-d21-Lg-il",1.5871306418895,3.13328359957575,2,"day21","Week 4","ileum","lg","M",252,"positive","none"
"252-3-d21-Lg-ce",3.53012449640681,14.710407677584,3,"day21","Week 4","cecum","lg","M",252,"positive","none"
"252-3-d21-Lg-fe",2.77502367952639,7.45609534523926,3,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-3-d21-Lg-il",2.68119676252118,9.49747594257769,3,"day21","Week 4","ileum","lg","M",252,"positive","none"
"252-4-d21-Lg-ce",3.05412266121856,14.0936565924942,4,"day21","Week 4","cecum","lg","M",252,"positive","none"
"252-4-d21-Lg-fe",3.40936008820984,14.3141021504203,4,"day21","Week 4","feces","lg","M",252,"positive","none"
"252-4-d21-Lg-il",1.33630739457013,2.54776089126729,4,"day21","Week 4","ileum","lg","M",252,"positive","none"
